index,subject,predicate,object,label
0,苏-,产国,俄,主战坦克
1,苏-,产国,俄,主战坦克
2,苏-,产国,俄,主战坦克
3,歼-16,产国,俄,主战坦克
4,歼-16,产国,俄,主战坦克
5,歼-16,产国,俄,主战坦克
6,J-16 multirole fighter,产国,俄,主战坦克
7,J-16 multirole fighter,产国,俄,主战坦克
8,J-16 multirole fighter,产国,俄,主战坦克
9,苏-,产国,中国,主战坦克
10,苏-,产国,中国,主战坦克
11,苏-,产国,中国,主战坦克
12,歼-16,产国,中国,主战坦克
13,歼-16,产国,中国,主战坦克
14,歼-16,产国,中国,主战坦克
15,J-16 multirole fighter,产国,中国,主战坦克
16,J-16 multirole fighter,产国,中国,主战坦克
17,J-16 multirole fighter,产国,中国,主战坦克
18,歼-16,研发单位与厂商,中国,主战坦克
19,歼-16,研发单位与厂商,中国,主战坦克
20,歼-16,研发单位与厂商,中国,主战坦克
21,J-16 multirole fighter,研发单位与厂商,中国,主战坦克
22,J-16 multirole fighter,研发单位与厂商,中国,主战坦克
23,J-16 multirole fighter,研发单位与厂商,中国,主战坦克
24,歼-16,研发单位与厂商,沈阳飞机公司,主战坦克
25,歼-16,研发单位与厂商,沈阳飞机公司,主战坦克
26,歼-16,研发单位与厂商,沈阳飞机公司,主战坦克
27,J-16 multirole fighter,研发单位与厂商,沈阳飞机公司,主战坦克
28,J-16 multirole fighter,研发单位与厂商,沈阳飞机公司,主战坦克
29,J-16 multirole fighter,研发单位与厂商,沈阳飞机公司,主战坦克
