index,subject,predicate,object,sentence_id,sentence
0,A-32A型,型号,攻击机,0,A-32A型攻击机于1958年中期交付完毕
1,1958年中期,研发时间,攻击机,0,A-32A型攻击机于1958年中期交付完毕
2,1958年中期,投入使用时间,攻击机,0,A-32A型攻击机于1958年中期交付完毕
3,A-32A型,型号,攻击机,1,A-32A型攻击机于1958年中期交付完毕
4,1958年中期,研发时间,攻击机,1,A-32A型攻击机于1958年中期交付完毕
5,1958年中期,投入使用时间,攻击机,1,A-32A型攻击机于1958年中期交付完毕
6,瑞,产国,S-32C型,2,"1955年,瑞典皇家空军订购了30架S-32C型侦察机，取代了活塞发动机的萨伯-18A型侦察机"
7,瑞,产国,S-32C型,2,"1955年,瑞典皇家空军订购了30架S-32C型侦察机，取代了活塞发动机的萨伯-18A型侦察机"
8,侦察机,型号,S-32C型,2,"1955年,瑞典皇家空军订购了30架S-32C型侦察机，取代了活塞发动机的萨伯-18A型侦察机"
9,S-32C型,型号,侦察机,3,1957年，瑞典皇家空军认为订购的攻击机数量过多，就将15架A-32A的订购合同改为15架S-32C型侦察机
10,A,型号,侦察机,3,1957年，瑞典皇家空军认为订购的攻击机数量过多，就将15架A-32A的订购合同改为15架S-32C型侦察机
11,1959年,研发时间,S-32C型,4,除了曾经在F21联队服役过很短的时间（从1959年起)，S-32C型一直在F21联队（服役部队）服役
12,1959年,投入使用时间,S-32C型,4,除了曾经在F21联队服役过很短的时间（从1959年起)，S-32C型一直在F21联队（服役部队）服役
13,瑞,产国,S-32C型,5,"1955年,瑞典皇家空军订购了30架S-32C型侦察机，取代了活塞发动机的萨伯-18A型侦察机"
14,瑞,产国,S-32C型,5,"1955年,瑞典皇家空军订购了30架S-32C型侦察机，取代了活塞发动机的萨伯-18A型侦察机"
15,侦察机,型号,S-32C型,5,"1955年,瑞典皇家空军订购了30架S-32C型侦察机，取代了活塞发动机的萨伯-18A型侦察机"
16,S-32C型,型号,侦察机,6,1957年，瑞典皇家空军认为订购的攻击机数量过多，就将15架A-32A的订购合同改为15架S-32C型侦察机
17,A,型号,侦察机,6,1957年，瑞典皇家空军认为订购的攻击机数量过多，就将15架A-32A的订购合同改为15架S-32C型侦察机
